,station_id,y_coord,x_coord,frequency_mhz,bandwidth_mhz,azimuth_deg,state,licensee
5250,WKMS-FM     ,36.92144444444440,-88.09669444444440,91.3,0.01,185.0,KY ,"BOARD OF REGENTS, MURRAY STATE UNIVERSITY                                   "
5251,W217BP,37.762277777777800,-87.07972222222220,91.3,0.01,0.0,KY ,HOPE MEDIA GROUP                                                            
5252,K217FD,31.30686111111110,-92.40347222222220,91.3,0.01,0.0,LA ,"BIBLE BROADCASTING NETWORK, INC.                                            "
5253,WHFG        ,29.967888888888900,-91.92527777777780,91.3,0.01,112.0,LA ,MARY V. HARRIS FOUNDATION                                                   
5254,WHFG        ,29.96797222222220,-91.92538888888890,91.3,0.01,112.0,LA ,MARY V. HARRIS FOUNDATION                                                   
5255,K217EC,31.53666666666670,-93.42305555555560,91.3,0.01,0.0,LA ,"FAMILY WORSHIP CENTER CHURCH, INC.                                          "
5256,KSCL        ,32.48108333333330,-93.73102777777780,91.3,0.01,56.0,LA ,"BOARD OF SUPERVISORS, LOUISIANA STATE UNIVERSITY AND A&M COLLEGE            "
5257,WNLS        ,30.53602777777780,-89.86452777777780,91.3,0.01,102.0,LA ,PROVIDENCE EDUCATIONAL FOUNDATION                                           
5258,WSHL-FM     ,42.05758333333330,-71.07919444444440,91.3,0.01,20.0,MA ,"STONEHILL COLLEGE, INC.                                                     "
5259,WXPL        ,42.58841666666670,-71.79005555555560,91.3,0.01,-41.0,MA ,FITCHBURG STATE UNIVERSITY                                                  
5260,WDJM-FM     ,42.29563888888890,-71.43783333333330,91.3,0.01,27.0,MA ,FRAMINGHAM STATE UNIVERSITY                                                 
5261,WFMR        ,41.7915,-69.99336111111110,91.3,0.01,73.0,MA ,"LOWER CAPE COMMUNICATIONS, INC.                                             "
5262,WNGF        ,42.525083333333300,-72.27786111111110,91.3,0.01,-53.0,MA ,NORTHEAST GOSPEL BROADCASTING INC.                                          
5263,WCUW        ,42.262861111111100,-71.79922222222220,91.3,0.01,44.0,MA ,"WUW, INC.                                                                   "
5264,WESM        ,38.21038888888890,-75.68186111111110,91.3,0.01,91.0,MD ,"UNIVERSITY OF MARYLAND, EASTERN SHORE                                       "
5265,WBEO        ,44.42833333333330,-70.77888888888890,91.3,0.01,4.0,ME ,MAINE PUBLIC BROADCASTING CORPORATION                                       
5266,W217CJ,43.65925,-70.26258333333330,91.3,0.01,0.0,ME ,"LIGHT OF LIFE MINISTRIES, INC.                                              "
5267,WMEW        ,44.48977777777780,-69.65086111111110,91.3,0.01,91.0,ME ,MAINE PUBLIC BROADCASTING CORPORATION                                       
5268,WCHW-FM     ,43.588638888888900,-83.87441666666670,91.3,0.01,0.0,MI ,"SCHOOL DISTRICT, BAY CITY                                                   "
5269,WGJU        ,44.27363888888890,-83.66330555555560,91.3,0.01,82.0,MI ,"RELEVANT RADIO, INC.                                                        "
5270,WJOG        ,45.50875,-85.0363888888889,91.3,0.01,209.2,MI ,MICHIGAN COMMUNITY RADIO                                                    
5271,WCSG        ,42.79613888888890,-85.64944444444450,91.3,0.01,174.0,MI ,CORNERSTONE UNIVERSITY                                                      
5272,WCSG        ,42.79613888888890,-85.64947222222220,91.3,0.01,115.0,MI ,CORNERSTONE UNIVERSITY                                                      
5273,W217CG,46.456611111111100,-90.16655555555560,91.3,0.01,0.0,MI ,WEST CENTRAL MICHIGAN MEDIA MINISTRIES                                      
5274,WOES        ,43.04613888888890,-84.38802777777780,91.3,0.01,51.0,MI ,OVID-ELSIE AREA SCHOOLS                                                     
