Unnamed: 0,station_id,latitude,longitude,frequency_mhz,bandwidth_mhz,azimuth_deg,state,licensee
25737,KPQS        ,37.6319444444444,-120.753055555556,106.7,0.01,84.7,CA ,HISPANIC TARGET MEDIA INC.                                                  
8664,KPRO        ,34.4388888888889,-99.5025,93.5,0.01,161.0,OK ,JAMES BOLES                                                                 
9075,KRLT        ,38.9604444444445,-119.943222222222,93.9,0.01,-32.0,CA ,ROTHSCHILD BROADCASTING LLC                                                 
16635,KRSN-LP     ,34.2058611111111,-109.942861111111,99.7,0.01,244.0,AZ ,SHOW LOW COMMUNITY RADIO                                                    
14548,KRXV-FM1,34.6113333333333,-117.289638888889,98.1,0.01,0.0,CA ,HEFTEL BROADCASTING COMPANY LLC                                             
15583,KSOL        ,37.7551944444444,-122.45275,98.9,0.01,409.0,CA ,"UNIVISION RADIO SAN FRANCISCO, INC.                                         "
19959,KSWW        ,46.9331388888889,-123.73375,102.1,0.01,122.0,WA ,"JODESHA BROADCASTING, INC.                                                  "
24079,KTCY        ,30.9112777777778,-99.7642222222222,105.3,0.01,-29.0,TX ,TRACY MCCUTCHEN                                                             
7429,KTOM-FM     ,36.5524722222222,-121.789111111111,92.7,0.01,170.5,CA ,"IHM LICENSES, LLC                                                           "
14017,KTPI-FM     ,34.9791388888889,-118.168111111111,97.7,0.01,91.0,CA ,RZ RADIO LLC                                                                
6692,KTSR        ,30.2213055555556,-93.3112777777778,92.1,0.01,136.7,LA ,"TOWNSQUARE LICENSE, LLC                                                     "
1402,KUAO        ,41.5917222222222,-112.249111111111,88.7,0.01,297.0,UT ,EDUCATIONAL MEDIA FOUNDATION                                                
5781,KUBS        ,48.1782222222222,-117.084083333333,91.5,0.01,0.0,WA ,NEWPORT CONSOLIDATED SCHOOL DISTRICT #56415
1775,KUOR-FM     ,34.1963888888889,-117.048888888889,89.1,0.01,815.0,CA ,UNIVERSITY OF REDLANDS                                                      
590,KVCO        ,39.5547222222222,-97.6636388888889,88.3,0.01,23.0,KS ,CLOUD COUNTY COMMUNITY COLLEGE                                              
27492,KVLY        ,26.1208333333333,-97.8219444444444,107.9,0.01,301.0,TX ,"ENTRAVISION HOLDINGS, LLC                                                   "
19812,KWFO-FM     ,43.7315555555556,-111.365222222222,102.1,0.01,523.0,ID ,"RICH BROADCASTING IDAHO LS, LLC                                             "
25967,KWRY        ,37.9444444444444,-104.999444444444,106.9,0.01,40.0,CO ,EDUCATIONAL MEDIA FOUNDATION                                                
23096,KXRN-LP     ,33.5283611111111,-117.770888888889,104.7,0.01,-35.0,CA ,"LAGUNA RADIO, INC.                                                          "
18108,KXTR-LP     ,32.2168055555556,-98.2169722222222,100.7,0.01,0.0,TX ,TARLETON STATE UNIVERSITY                                                   
24778,KYJK        ,46.8015833333333,-113.973694444444,105.9,0.01,635.0,MT ,"MISSOULA BROADCASTING COMPANY, LLC                                          "
5142,KYLN        ,33.57,-114.35,91.3,0.01,674.0,AZ ,"ADVANCE MINISTRIES, INC.                                                    "
17520,KZEN        ,41.5411111111111,-97.6795,100.3,0.01,562.0,NE ,ALPHA 3E LICENSEE LLC
4145,KZKL        ,33.9013888888889,-98.5393888888889,90.5,0.01,131.0,TX ,EDUCATIONAL MEDIA FOUNDATION                                                
25447,NEW-1       ,42.8234166666667,-106.364666666667,106.3,0.01,-148.0,WY ,CASPER 1 TV AT. HIGHER ELEVATION
